ID: 1, Level Name: السلام عليكم, Stars: 6656
ID: 2, Level Name: I am here, Stars: 2581
ID: 3, Level Name: Adams Äpfel, Stars: 1387
ID: 4, Level Name: 都会の空, Stars: 1138
ID: 5, Level Name: Block Shortage, Stars: 888
ID: 6, Level Name: Go through spikes, Stars: 1344
ID: 7, Level Name: かけおりろー, Stars: 988
ID: 8, Level Name: Holdman, Stars: 704
ID: 9, Level Name: Through moving pipe, Stars: 748
ID: 10, Level Name: Lifestream, Stars: 809
ID: 11, Level Name: Buoyancy, Stars: 414
ID: 13, Level Name: Block to Block, Stars: 525
ID: 14, Level Name: HOLD RIGHT, Stars: 235
ID: 15, Level Name: 箱入り娘, Stars: 484
ID: 16, Level Name: teleport, Stars: 364
ID: 17, Level Name: ( ^-^)ノ∠※。.:*:・'°☆, Stars: 328
ID: 18, Level Name: Normal challenge, Stars: 408
ID: 19, Level Name: 升降   , Stars: 343
ID: 20, Level Name: Giri Giri Jump, Stars: 549
ID: 22, Level Name: the least, Stars: 415
ID: 23, Level Name: Steinberg, Stars: 471
ID: 24, Level Name: Get to the other side!, Stars: 486
ID: 25, Level Name: 行けなくてもどかしい…, Stars: 184
ID: 26, Level Name: あんち・ぐらびてぃ, Stars: 333
ID: 27, Level Name: 難しいよ, Stars: 164
ID: 28, Level Name: トゲをよけよう, Stars: 399
ID: 29, Level Name: battery, Stars: 201
ID: 30, Level Name: race, Stars: 261
ID: 31, Level Name: Blocks are precious, Stars: 340
ID: 32, Level Name: Hop Hop Hop, Stars: 207
ID: 34, Level Name: movin' blocks, Stars: 187
ID: 35, Level Name: Bouncy challenge, Stars: 264
ID: 36, Level Name: 火山🌋, Stars: 388
ID: 38, Level Name: Get along with spikes, Stars: 345
ID: 39, Level Name: Pantsmanjet-α, Stars: 314
ID: 40, Level Name: Super Jump!, Stars: 412
ID: 41, Level Name: Pantsmanjet-β, Stars: 309
ID: 42, Level Name: ブロックは大切に使おう, Stars: 527
ID: 43, Level Name: かんたん, Stars: 307
ID: 44, Level Name: Ice & gravity, Stars: 298
ID: 45, Level Name: Pillars in Lava, Stars: 325
ID: 46, Level Name: スタント, Stars: 271
ID: 47, Level Name: マジで難しいよ (2), Stars: 144
ID: 48, Level Name:                                     , Stars: 615
ID: 49, Level Name: Timing, Stars: 123
ID: 50, Level Name: PING, Stars: 243
ID: 52, Level Name: Welcome iPhone Beta Testers!, Stars: 407
ID: 54, Level Name: hello world, Stars: 175
ID: 56, Level Name: D11Man is back, Stars: 116
ID: 57, Level Name: Don't look down, Stars: 75
ID: 58, Level Name: Simple, Stars: 105
ID: 59, Level Name: 布都ちゃんかわいい , Stars: 1872
ID: 60, Level Name: Simply just a level, Stars: 102
ID: 61, Level Name: Prison and me, Stars: 286
ID: 62, Level Name: 布都ちゃんは風水かわいい？ , Stars: 2165
ID: 63, Level Name: useful glitch, Stars: 127
ID: 64, Level Name: ☁　　☁　　☁　　☁　　☁　　☁　　☁, Stars: 179
ID: 65, Level Name: イライラ, Stars: 112
ID: 66, Level Name: When in doubt:add four blocks, Stars: 134
ID: 67, Level Name: Fall, Stars: 85
ID: 68, Level Name: Hurdles, Stars: 76
ID: 69, Level Name: 往復 Round trip, Stars: 755
ID: 70, Level Name: Any Feedback?, Stars: 325
ID: 71, Level Name: blocks, Stars: 55
ID: 72, Level Name: Crazy, Stars: 131
ID: 73, Level Name: Climb, Stars: 157
ID: 74, Level Name: Climb 2, Stars: 83
ID: 75, Level Name: Where's the exit, Stars: 103
ID: 76, Level Name: tower, Stars: 218
ID: 78, Level Name: GuRuRi, Stars: 94
ID: 79, Level Name: Harder Than it Looks, Stars: 114
ID: 80, Level Name: 回路  , Stars: 324
ID: 83, Level Name: Ummmm, Stars: 122
ID: 84, Level Name: Climb 3, Stars: 64
ID: 85, Level Name: Climb 4, Stars: 82
ID: 86, Level Name: Freefall , Stars: 72
ID: 87, Level Name: The flip side, Stars: 97
ID: 88, Level Name: Climb 5:There's a shortcut, Stars: 103
ID: 89, Level Name: バウンシーロード, Stars: 244
ID: 90, Level Name: Who can go fastest?, Stars: 153
ID: 91, Level Name: Exit, Stars: 202
ID: 93, Level Name: DANCING SEGMENTS, Stars: 162
ID: 94, Level Name: Climb 6:Simple Jumps, Stars: 86
ID: 95, Level Name: Holdman 2, Stars: 65
ID: 96, Level Name: Twin towers, Stars: 121
ID: 97, Level Name: Somewhat possible, Stars: 104
ID: 98, Level Name: Flip, Stars: 140
ID: 99, Level Name: Skydive adventure, Stars: 142
ID: 100, Level Name: Fall 2, Stars: 714
ID: 101, Level Name: THE TOWER, Stars: 176
ID: 102, Level Name: The Flipside 2, Stars: 144
ID: 104, Level Name: Easy Box, Stars: 264
ID: 106, Level Name: Ninja Steps, Stars: 150
ID: 107, Level Name: 🔳🔳🔳🔳, Stars: 117
ID: 108, Level Name: まわりみち, Stars: 126
ID: 109, Level Name: 布都ちゃんは切腹かわいい💕 , Stars: 1570
ID: 110, Level Name: Simple Climbing, Stars: 52
ID: 111, Level Name: For fun, Stars: 310
ID: 112, Level Name: Simple Hazard, Stars: 236
